t_rel_ns,kind,slot,value_deg
1311351354,CMD,3,0.0000
1317339101,CMD,0,5.0000
1317339101,CMD,1,0.0000
1317339101,CMD,2,0.0000
1317339101,CMD,3,0.0000
1323325517,CMD,0,5.0000
1323325517,CMD,1,0.0000
1323325517,CMD,2,0.0000
1323325517,CMD,3,0.0000
1329335130,CMD,0,5.0000
1329335130,CMD,1,0.0000
1329335130,CMD,2,0.0000
1329335130,CMD,3,0.0000
1335340350,CMD,0,5.0000
1335340350,CMD,1,0.0000
1335340350,CMD,2,0.0000
1335340350,CMD,3,0.0000
1340332597,CMD,0,5.0000
1340332597,CMD,1,0.0000
1340332597,CMD,2,0.0000
1340332597,CMD,3,0.0000
1346341220,CMD,0,5.0000
1346341220,CMD,1,0.0000
1346341220,CMD,2,0.0000
1346341220,CMD,3,0.0000
1352333644,CMD,0,5.0000
1352333644,CMD,1,0.0000
1352333644,CMD,2,0.0000
1352333644,CMD,3,0.0000
1358352336,CMD,0,5.0000
1358352336,CMD,1,0.0000
1358352336,CMD,2,0.0000
1358352336,CMD,3,0.0000
1364358267,CMD,0,5.0000
1364358267,CMD,1,0.0000
1364358267,CMD,2,0.0000
1364358267,CMD,3,0.0000
1370338306,CMD,0,5.0000
1370338306,CMD,1,0.0000
1370338306,CMD,2,0.0000
1370338306,CMD,3,0.0000
1376348475,CMD,0,5.0000
1376348475,CMD,1,0.0000
1376348475,CMD,2,0.0000
1376348475,CMD,3,0.0000
